Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Billy Brown	MIKA		Life In Cartoon Motion							3121153	194			7			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\hwrEZi2EJrM
Big Girl (You Are Beautiful)	MIKA		Life In Cartoon Motion							3057640	248			8			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\yDSK91mUNLU
Grace Kelly	MIKA		Life In Cartoon Motion							2946864	187			1			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\AnKZISfnxVE
Cracker	Spiderbait		Grand Slam							2983216	186			1			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\sNDh0aIdZPE
White Trash Superstar	Spiderbait		Grand Slam							3321359	207			8			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\8LO3r8zWOQo
Dinner Time	Spiderbait		Grand Slam							2100908	131			4			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\COlAWvown6o
Lickety Split	Spiderbait		Grand Slam							2655124	165			16			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\eZjbrSIgu4M
Shazam!	Spiderbait		Grand Slam							1924526	123			3			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\SZQ9Havyp-M
Glockenpop	Spiderbait		Grand Slam							3075588	199			2			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\MC_axjAEPlg
Fell In Love With a Girl	The White Stripes		White Blood Cells							1779943	110			4			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\1CK7v9VUBvs
Debaser	Pixies		Doolittle							2772560	173			1			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\HvldypUz9w8
Broken Face	Pixies		Surfer Rosa (Remastered)							1452246	92			4			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\vVoMyR9X-4Q
Gigantic	Pixies		Surfer Rosa (Remastered)							3772752	237			5			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\BdR-XpNNwDM
Tony's Theme	Pixies		Surfer Rosa (Remastered)							1809184	114			9			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\b7U1nxbwZs8
Oh My Golly!	Pixies		Surfer Rosa (Remastered)							2452005	155			10			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\PEu4M3eEuOw
Monkey Gone to Heaven	Pixies		Doolittle							4377955	177			7			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\XycBLF6kWuY
Blitzkrieg Bop - 2016 Remaster	Ramones		Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)							2126466	134			1			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\NQDPx_k66w4
I Wanna Be Sedated	Ramones		Road to Ruin (40th Anniversary Deluxe Edition)							2398535	149			7			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\V4RQsPECTdM
Sheena Is a Punk Rocker - 2017 Remaster	Ramones		Rocket to Russia (40th Anniversary Deluxe Edition)							2720389	169			6			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\0sPeq_mFCKc
Beat on the Brat - 2001 Remaster	Ramones		Greatest Hits							2428191	152			2			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\unvFK9I3vgc
LDN	Lily Allen		Alright, Still (Deluxe)							3093566	190			3			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\jxw8iuj8Czo
You Really Got Me - Remastered	The Kinks		The Anthology 1964 - 1971							2146917	134			8			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\My5YMXGbq_o
Lola - Remastered	The Kinks		Lola Versus Powerman and the Moneygoround / Percy							3873935	242			5			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\Jv4et3RIMcg
Birdhouse in Your Soul	They Might Be Giants		Flood							3184275	198			2			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\9zOKBvHNWus
Run to the Hills - 2015 Remaster	Iron Maiden		The Number of the Beast (2015 Remaster)							3739359	233			6			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\tyhr0n3v5EU
The Trooper - 2015 Remaster	Iron Maiden		Piece of Mind (2015 Remaster)							4036095	252			5			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\j_Q1B9QTk70
The Number of the Beast - 2015 Remaster	Iron Maiden		The Number of the Beast (2015 Remaster)							4654279	290			5			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\Ci8CMpBT0_M
Antmusic - Remastered	Adam & The Ants		Kings of the Wild Frontier (Deluxe Edition)							3464339	216			2			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\rSLy513UFbI
Parklife	Blur		Blur: The Best Of							2963156	187			6			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\H-79RqZYH1Y
Heroin or Suicide?	Leftover Crack		Leftover Leftover Crack							3050954	190			11			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\hx5Lq29Ooog
Gay Bar	Electric Six		Fire							2257217	140			8			44505	44505	128	44100		MPEG audio file								\music_to_bring_a_kid_up_to\AMzxwu9mKHg
